sample	samples	RNAss	FOXM1	AKT_PATHWAY	ALK_PATHWAY	BRCA_ATR_PATHWAY	CASPASE_CASCADE_(APOPTOSIS)	CTLA4_PATHWAY	PD1_SIGNALING	PI3K_CASCADE	PTEN_PATHWAY	RAS_PATHWAY	RB_PATHWAY	Subtype_Immune_Model_Based	cancer type abbreviation
TCGA-2G-AAGA-01	TCGA-2G-AAGA-01	0.85283	12.81	0.306	-1.5056	0.9274	1.3618	-0.0621	1.1329	-0.6425	2.2599	-1.4946	-1.6144	Wound Healing (Immune C1)	TGCT
TCGA-2G-AAKL-01	TCGA-2G-AAKL-01	0.850228	12.91	0.2	-1.7848	0.1964	2.0928	0.7186	1.388	0.2737	1.4622	-1.534	-2.3421	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-XE-AAO3-01	TCGA-XE-AAO3-01	0.833145	12.76	0.7828	-2.2575	-1.195	2.1581	0.8325	0.2562	0.1894	0.8826	-1.3068	-3.1478	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-XE-A8H1-01	TCGA-XE-A8H1-01	0.83125	13.79	0.4237	-0.8447	1.1766	1.6631	0.7669	1.4019	0.3149	2.4282	-0.6081	-1.3502	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAKD-01	TCGA-2G-AAKD-01	0.829945	13.34	-0.013	-1.5499	0.4013	1.2917	0.9164	0.7128	0.4952	1.6614	-1.4383	-1.951	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAH8-01	TCGA-2G-AAH8-01	0.828313	11.96	-0.084	-2.1446	-0.7117	2.1208	0.6585	0.1091	0.4608	0.0102	-1.6799	-3.1687	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAGJ-01	TCGA-2G-AAGJ-01	0.816821	12.48	0.4552	-0.8509	0.7311	1.6267	1.1948	0.2802	0.8498	1.347	-0.5184	-1.2345	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAFM-01	TCGA-2G-AAFM-01	0.805988	12.35	1.1267	-0.9586	-0.0936	0.9518	1.2	1.1822	1.2317	1.2717	-2.0156	-2.0417	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-XE-A8H5-01	TCGA-XE-A8H5-01	0.805727	13.08	0.2284	-1.9664	-0.5162	2.4955	1.0016	0.9654	0.5959	0.4779	-1.261	-2.1141	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-S6-A8JY-01	TCGA-S6-A8JY-01	0.804978	10.95	1.9165	-2.6925	-0.4378	2.0421	0.1752	-0.2993	0.3422	0.8252	-1.3148	-2.8509	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAHP-01	TCGA-2G-AAHP-01	0.802661	12.27	0.7823	-2.1593	-0.8524	1.8859	-0.1901	1.5984	-0.3695	1.0837	-1.8293	-2.4438	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-4K-AA1G-01	TCGA-4K-AA1G-01	0.798902	11.38	-0.6313	-2.642	-0.8997	2.2439	0.0422	-2.0777	0.4512	-0.0458	-1.5245	-3.0997	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-SB-A76C-01	TCGA-SB-A76C-01	0.796191	11.71	1.0223	-2.1455	-0.6255	2.2401	0.4259	0.3877	0.2495	0.5035	-1.2167	-2.6857	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-XE-AANJ-01	TCGA-XE-AANJ-01	0.791196	12.63	0.1087	-1.8734	-0.7981	1.7273	0.9034	-0.5651	0.992	0.5262	-1.0075	-2.018	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-S6-A8JX-01	TCGA-S6-A8JX-01	0.787942	12.45	1.7806	-2.1879	-0.4732	2.0998	-0.9619	0.636	-1.0216	1.1276	-1.5046	-2.4257	Wound Healing (Immune C1)	TGCT
TCGA-2G-AAGE-01	TCGA-2G-AAGE-01	0.784277	13.28	1.4539	-1.0134	1.1418	1.8697	0.4559	0.3616	-0.0096	1.8509	-0.6305	-1.903	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAKH-01	TCGA-2G-AAKH-01	0.781097	12.68	-0.2793	-0.6417	0.6465	1.8465	1.3286	0.4595	0.5477	1.1902	-0.9981	-1.4625	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-VF-A8AD-01	TCGA-VF-A8AD-01	0.780242	12.99	0.656	-1.0615	0.1918	1.9935	1.4363	0.526	1.3164	1.0658	-1.016	-1.4199	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AALP-01	TCGA-2G-AALP-01	0.775864	13.42	2.0702	-2.4438	1.0657	1.2757	0.1455	0.7914	-0.0041	1.6233	-1.383	-2.0967	Wound Healing (Immune C1)	TGCT
TCGA-2G-AAH0-01	TCGA-2G-AAH0-01	0.77295	12.3	-0.4061	-1.5232	-0.6283	2.0785	0.5098	-0.2528	1.154	0.2817	-1.1868	-2.5762	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAF6-01	TCGA-2G-AAF6-01	0.77188	11.36	0.7088	-1.7105	-0.7773	1.9709	0.6781	-1.1031	1.2662	0.2846	-1.127	-2.135	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAHL-01	TCGA-2G-AAHL-01	0.770886	11.09	-0.0703	-1.9449	-0.9965	1.8044	0.4507	0.7103	0.9657	-0.4359	-2.2188	-2.9624	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-WZ-A7V3-01	TCGA-WZ-A7V3-01	0.766552	12.07	0.0423	-1.3555	-0.5617	1.8414	0.6052	0.5474	0.5514	0.2113	-1.0887	-2.1371	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-XY-A8S3-01	TCGA-XY-A8S3-01	0.76282	13.2	1.3585	-1.3874	1.7921	1.5498	0.2523	1.0147	-0.3262	2.0188	-0.7426	-1.7838	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-XE-AAOL-01	TCGA-XE-AAOL-01	0.762757	10.87	-0.2905	-2.6682	-1.3199	1.7219	-0.0103	1.1022	-0.617	-0.1379	-2.8752	-5.0136	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAF8-01	TCGA-2G-AAF8-01	0.762578	11.1	-0.3214	-1.0129	-0.2646	2.0183	1.0406	0.0744	0.8416	1.4931	-0.5912	-2.2271	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAF4-01	TCGA-2G-AAF4-01	0.760405	12.03	0.2254	-1.2107	-0.566	2.3304	1.3129	0.3634	1.127	0.7244	-0.5389	-1.8437	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAHG-01	TCGA-2G-AAHG-01	0.755842	12.16	2.0007	-1.4985	-0.577	1.7788	0.2361	0.7307	0.2559	1.0518	-0.9517	-1.7524	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-YU-A912-01	TCGA-YU-A912-01	0.75413	12.2	1.5959	-0.9462	-0.3822	2.0558	1.0163	0.8418	0.9802	0.5373	-0.769	-1.4924	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAG8-01	TCGA-2G-AAG8-01	0.749942	12.94	1.0542	-0.656	0.6587	1.3866	0.8312	1.1136	0.6437	1.5486	-1.006	-1.1356	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAEX-01	TCGA-2G-AAEX-01	0.748858	12.92	0.6794	-1.1239	0.0105	2.1257	0.9734	0.9618	1.0185	0.7225	-1.1589	-1.8416	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAGK-01	TCGA-2G-AAGK-01	0.746864	13.03	0.9614	-0.3892	1.9103	1.5789	1.6121	0.4545	0.7774	2.081	-0.2709	-0.3257	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-XE-AAO6-01	TCGA-XE-AAO6-01	0.744709	11.47	-0.7221	-2.4042	-1.3416	1.5994	0.8649	-0.5165	0.9332	-0.3356	-2.1067	-3.46	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-S6-A8JW-01	TCGA-S6-A8JW-01	0.742294	11.63	0.8929	-1.1678	-0.0628	2.683	0.9491	0.6035	0.5822	0.4321	-0.9423	-2.3651	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-YU-A90Q-01	TCGA-YU-A90Q-01	0.738303	10.81	1.3748	-1.9806	-0.1272	2.4486	-0.1358	0.3609	-0.9162	0.8102	-1.3243	-2.6404	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAFG-01	TCGA-2G-AAFG-01	0.73667	12.13	-0.3082	-0.9515	-0.3923	1.7686	1.31	-0.1821	1.5453	0.2503	-0.7376	-1.2778	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-SB-A6J6-01	TCGA-SB-A6J6-01	0.735905	11.83	0.3512	-1.4661	-0.7104	1.9363	0.808	0.6635	1.0549	0.4432	-0.8925	-1.4234	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAHT-01	TCGA-2G-AAHT-01	0.735474	11.12	-0.4837	-1.7934	-0.4921	2.2018	0.7246	0.1894	1.0265	-0.0617	-0.7804	-2.2417	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-YU-A90W-01	TCGA-YU-A90W-01	0.73545	12.37	0.4536	-1.9354	-0.4836	2.2495	0.3044	1.1676	0.3524	0.9395	-1.2037	-2.2222	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAFY-01	TCGA-2G-AAFY-01	0.735285	12.98	0.514	-0.6618	0.7274	1.289	1.5609	1.2022	1.1313	1.7434	-0.6385	-1.445	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-XY-A9T9-01	TCGA-XY-A9T9-01	0.733726	12.2	0.0697	-0.7146	-0.4915	2.1028	1.632	1.0654	1.2302	0.272	-0.2958	-1.4848	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAKM-01	TCGA-2G-AAKM-01	0.731723	13.04	0.3933	-1.7438	0.819	1.2814	0.0859	0.451	-0.2072	1.8423	-1.3756	-1.7148	Wound Healing (Immune C1)	TGCT
TCGA-2G-AAFI-01	TCGA-2G-AAFI-01	0.731676	12.97	1.4017	-1.092	2.0282	1.6043	0.8472	1.1955	0.2604	2.1996	-0.8148	-2.0737	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-SO-A8JP-01	TCGA-SO-A8JP-01	0.727295	11.03	1.7496	-2.236	-0.1895	1.8986	-0.382	-0.0814	-0.569	1.1155	-1.0489	-2.5616	Wound Healing (Immune C1)	TGCT
TCGA-2G-AAEW-01	TCGA-2G-AAEW-01	0.723536	11	0.8559	-1.2445	-0.3147	2.8351	0.8997	-0.0245	1.2829	0.3593	-0.6878	-1.9615	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-LP-A5U2-01	TCGA-LP-A5U2-01	0.722442	11.07	0.0763	-0.9658	-1.4283	1.8794	0.8302	-0.9852	0.0656	-0.6539	-2.0938	-1.7705	IFN-gamma Dominant (Immune C2)	CESC
TCGA-XE-AAO4-01	TCGA-XE-AAO4-01	0.722389	10.9	0.7631	-1.4122	0.1326	2.1729	1.0283	1.1326	0.8593	0.4273	-1.2311	-2.5532	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-WZ-A8D5-01	TCGA-WZ-A8D5-01	0.721144	12.83	-0.3554	-1.1525	-0.7831	1.9455	1.3278	0.2691	1.6096	0.1105	-0.7998	-1.2429	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-XE-AAOF-01	TCGA-XE-AAOF-01	0.71876	11.04	1.037	-0.9472	-0.4915	2.1864	1.4161	0.4274	1.1321	0.3916	-1.4717	-1.8089	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAG9-01	TCGA-2G-AAG9-01	0.717945	11.81	1.1415	-1.1716	-0.3636	1.8411	0.8568	0.3831	1.4601	0.5869	-1.393	-1.5356	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAFH-01	TCGA-2G-AAFH-01	0.717009	12	0.409	-0.982	-0.3623	1.8139	1.1733	0.2062	1.2084	1.0552	-0.9363	-1.7141	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-ZM-AA0N-01	TCGA-ZM-AA0N-01	0.704964	12.07	-0.5481	-2.5567	-0.9379	1.2517	0.6227	0.2205	1.1505	-0.312	-1.7436	-3.9416	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-XE-A8H4-01	TCGA-XE-A8H4-01	0.704549	11.91	0.8838	-0.3978	-0.2881	1.7502	1.4992	0.1677	1.663	0.3207	-0.6444	-1.2352	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-XE-A9SE-01	TCGA-XE-A9SE-01	0.704192	13.19	0.6241	-1.0915	0.0972	1.7518	1.1456	1.0643	1.2882	1.7024	-0.767	-1.0986	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-ZM-AA0B-01	TCGA-ZM-AA0B-01	0.70348	11.08	1.0136	-1.5613	-0.9819	1.5274	0.9384	0.1309	1.2848	0.3318	-1.4926	-3.0446	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-WZ-A7V5-01	TCGA-WZ-A7V5-01	0.701995	10.81	0.3299	-0.8228	-0.5797	2.0397	1.0508	0.7668	1.2011	0.5821	-0.7764	-1.7845	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAF1-01	TCGA-2G-AAF1-01	0.697505	10.59	1.0025	-0.5369	-0.0017	2.7453	1.3644	0.0998	1.3344	0.7335	-0.6096	-1.6534	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-ZM-AA06-01	TCGA-ZM-AA06-01	0.696049	11.05	2.4141	-1.5175	-0.2927	1.1894	0.3383	1.2333	0.6616	0.8628	-1.9573	-2.8718	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAGC-01	TCGA-2G-AAGC-01	0.689097	12.76	0.7615	-0.1553	2.1521	1.8023	1.6519	1.9035	0.7566	2.3612	-0.0483	-1.6102	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-VF-A8AE-01	TCGA-VF-A8AE-01	0.688677	11.38	0.3487	-1.0896	-0.8014	1.5824	1.1775	-0.0742	1.8043	-0.7484	-1.6729	-2.0019	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAH3-01	TCGA-2G-AAH3-01	0.688172	10.81	-0.0054	-0.9334	0.5033	2.4408	-0.0495	1.1812	0.5667	0.9742	-1.0872	-2.3644	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-DM-A28H-01	TCGA-DM-A28H-01	0.684254	11.62	0.5997	-2.1717	-0.8317	1.8557	-0.3161	0.7757	-1.3242	-0.8917	-1.3283	-1.1126	Wound Healing (Immune C1)	COAD
TCGA-4K-AA1I-01	TCGA-4K-AA1I-01	0.67904	11.03	0.5794	-0.3549	-0.555	2.048	1.6563	-0.0949	1.8771	0.5006	-0.5493	-0.8045	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-SN-A6IS-01	TCGA-SN-A6IS-01	0.677667	12.75	1.3697	-0.7185	-0.0515	2.1902	1.0505	0.9968	0.5223	0.9708	-0.1399	-1.62	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAGS-01	TCGA-2G-AAGS-01	0.675419	12.25	1.1704	-0.6046	2.2953	1.5406	-0.7183	2.2972	-1.1497	2.544	-0.4527	-1.5329	Wound Healing (Immune C1)	TGCT
TCGA-XE-AANV-01	TCGA-XE-AANV-01	0.675189	11.18	0.8498	-0.5226	0.27	2.3329	0.3375	0.3566	0.9803	1.0181	-1.0733	-2.1845	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-AX-A3FV-01	TCGA-AX-A3FV-01	0.672645	12.85	-0.3057	-0.5455	-1.0097	1.4621	-0.0892	1.3291	-0.5531	-1.7154	-1.6166	1.9618	Wound Healing (Immune C1)	UCEC
TCGA-HD-A634-01	TCGA-HD-A634-01	0.670056	11.41	-0.3457	-2.9817	-0.2085	1.7378	-0.9546	0.4999	-1.7537	-0.9703	-2.8662	-2.0047	Wound Healing (Immune C1)	HNSC
TCGA-2G-AAGZ-01	TCGA-2G-AAGZ-01	0.667897	12.51	1.3073	-0.2768	1.0813	1.4122	1.0939	1.2723	1.1768	1.3195	-0.5224	-1.2422	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAHA-01	TCGA-2G-AAHA-01	0.66738	10.31	0.2624	-0.5169	-0.4729	2.2161	1.2295	-0.2482	1.7901	0.1399	-0.627	-1.1676	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAKG-01	TCGA-2G-AAKG-01	0.663431	12.64	0.2284	-1.0787	2.0172	1.1959	1.1323	1.951	0.7403	1.9498	-1.2047	-1.2729	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2X-A9D5-01	TCGA-2X-A9D5-01	0.662616	11.39	-0.1687	-0.5636	-0.2656	1.9995	0.7635	1.4098	1.2523	0.6115	-0.9049	-1.4409	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-D1-A2G0-01	TCGA-D1-A2G0-01	0.662271	10.81	1.462	-0.7809	-0.8142	0.7106	0.722	1.3501	0.0385	-0.2855	-0.5299	-0.6219	Wound Healing (Immune C1)	UCEC
TCGA-NH-A50T-01	TCGA-NH-A50T-01	0.66193	11.15	0.1432	-2.3494	-1.1733	1.5633	-0.0636	0.0683	-1.3306	-0.6694	-1.6281	-2.0472	Wound Healing (Immune C1)	COAD
TCGA-XY-A89B-01	TCGA-XY-A89B-01	0.660236	11.44	-0.0901	-0.1758	-0.2179	1.986	1.6137	0.6785	2.0048	0.1437	-0.1688	-0.4721	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-G4-6626-01	TCGA-G4-6626-01	0.659566	11.18	0.6099	-1.5356	-1.3776	1.5619	0.3809	0.8211	-0.9127	-0.9254	-0.8078	-1.0171	Wound Healing (Immune C1)	COAD
TCGA-ZM-AA0E-01	TCGA-ZM-AA0E-01	0.659375	10.2	-0.3026	-1.4098	-0.9205	1.3898	0.5978	0.2602	1.404	-0.1567	-2.2228	-2.6174	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAFO-01	TCGA-2G-AAFO-01	0.659063	12.3	-0.045	-0.6942	1.0062	0.87	0.935	0.8504	0.8206	1.47	-1.1739	-1.169	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-66-2754-01	TCGA-66-2754-01	0.658453	11.72	1.0015	-1.9087	0.2853	1.1196	-0.1946	-0.3675	-0.4131	0.218	-1.4005	-1.3753	Wound Healing (Immune C1)	LUSC
TCGA-2G-AAHC-01	TCGA-2G-AAHC-01	0.65689	11.46	0.4633	-0.1129	-0.4146	1.8015	1.3145	0.4092	1.8346	0.5508	-0.3944	-0.8401	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAGF-01	TCGA-2G-AAGF-01	0.654953	12.72	0.8762	-0.9572	1.8984	1.0338	0.2479	0.9297	-0.1665	2.0299	-1.2655	-1.9559	Wound Healing (Immune C1)	TGCT
TCGA-AR-A0TU-01	TCGA-AR-A0TU-01	0.651709	12.73	0.1453	-0.4159	-2.0234	1.1533	0.538	0.243	0.5928	-1.5061	-0.7734	-0.6937	IFN-gamma Dominant (Immune C2)	BRCA
TCGA-VF-A8AC-01	TCGA-VF-A8AC-01	0.647536	11	0.0986	-0.6741	0.303	2.4618	1.4519	0.4702	1.1541	0.5575	-0.9024	-1.2527	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-YU-A90Y-01	TCGA-YU-A90Y-01	0.647318	13.2	1.6254	-0.1333	1.9967	1.9865	0.7706	1.6924	0.9777	1.9913	-0.2002	-1.6897	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-DM-A1DB-01	TCGA-DM-A1DB-01	0.646623	12.15	0.9061	-1.0687	-1.1855	1.693	0.0062	0.4481	-0.6102	-1.4304	-0.1703	-1.022	Wound Healing (Immune C1)	COAD
TCGA-A1-A0SO-01	TCGA-A1-A0SO-01	0.643111	12.18	-0.0921	0.1297	-1.0374	1.9682	-1.1318	-2.7918	-0.7591	-0.515	0.255	-0.6763	Wound Healing (Immune C1)	BRCA
TCGA-BB-7870-01	TCGA-BB-7870-01	0.6429	10.09	-1.1548	-1.7148	-1.0512	0.6626	0.5942	0.6942	-0.675	-0.9886	-2.2636	-1.2262	Wound Healing (Immune C1)	HNSC
TCGA-DM-A1DA-01	TCGA-DM-A1DA-01	0.641466	11.27	0.3497	-2.268	-1.6887	1.4851	-0.4123	0.0973	-1.3706	-1.5027	-1.2725	-0.8749	Wound Healing (Immune C1)	COAD
TCGA-XE-AANR-01	TCGA-XE-AANR-01	0.641076	10.95	-0.1216	-1.7624	-0.5709	2.0124	-0.3882	0.8543	0.6673	0.0169	-1.7815	-2.3002	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-H5-A2HR-01	TCGA-H5-A2HR-01	0.636601	10.26	-0.5552	-2.3204	-2.4322	0.3373	-0.8022	2.1783	-0.4273	-1.1825	-3.6377	-2.5205	IFN-gamma Dominant (Immune C2)	UCEC
TCGA-AA-3947-01	TCGA-AA-3947-01	0.635884	9.53	-5.3202	-2.7625	-1.6435	1.0802	0.2782	-4.9953	-0.7626	-2.3076	-2.5365	-2.8418	Lymphocyte Depleted (Immune C4)	COAD
TCGA-XE-AAOD-01	TCGA-XE-AAOD-01	0.633158	11.21	-0.0647	0.0954	-0.4173	1.7427	1.1059	0.0187	1.5139	0.5676	-0.6654	-0.9272	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-A6-6648-01	TCGA-A6-6648-01	0.633132	11.47	0.4795	-0.1	0.1201	1.477	0.8809	0.3052	-0.7888	-0.1249	0.2486	-0.2685	Wound Healing (Immune C1)	COAD
TCGA-OL-A5D7-01	TCGA-OL-A5D7-01	0.63288	12.73	0.9604	-0.4998	-1.2411	1.266	0.9227	1.8453	1.3616	-1.4053	-1.1719	-0.2846	IFN-gamma Dominant (Immune C2)	BRCA
TCGA-XF-A9ST-01	TCGA-XF-A9ST-01	0.632415	11.61	1.6208	-2.0092	-0.791	1.1686	-2.0656	-0.6397	-2.0792	-1.5398	-1.2884	-1.6604	Wound Healing (Immune C1)	BLCA
TCGA-2G-AAFL-01	TCGA-2G-AAFL-01	0.631836	12.33	0.5571	-0.535	1.0199	1.1446	0.6449	1.5966	0.7917	1.6855	-0.9871	-1.0185	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-E2-A14N-01	TCGA-E2-A14N-01	0.631825	12.23	-1.1507	-0.7037	-0.9346	1.0648	0.3754	0.2977	0.1522	-0.8459	-0.8217	-0.9369	IFN-gamma Dominant (Immune C2)	BRCA
TCGA-4K-AAAL-01	TCGA-4K-AAAL-01	0.631556	12.2	0.4095	-0.6541	-0.1248	1.184	0.3313	1.069	0.8908	0.9014	-0.9458	-0.9314	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-A6-6780-01	TCGA-A6-6780-01	0.630662	11.13	0.5328	-0.2406	-1.9932	0.9221	1.6853	-0.3961	1.1693	-1.0354	-0.8955	-0.3452	IFN-gamma Dominant (Immune C2)	COAD
TCGA-2G-AAHN-01	TCGA-2G-AAHN-01	0.62806	10.3	1.0228	-1.1168	-0.5361	1.8109	1.0069	0.5888	2.0743	0.0902	-1.256	-1.5203	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-D5-5540-01	TCGA-D5-5540-01	0.627656	10.38	-0.9301	-2.5834	-1.1147	2.171	0.0177	-0.5844	-0.7767	-1.0171	-1.5992	-2.5505	Wound Healing (Immune C1)	COAD
TCGA-DC-6682-01	TCGA-DC-6682-01	0.62681	11.27	-1.4977	-0.2367	-0.4753	1.4071	0.3493	-0.5701	-0.4587	0.3482	-0.4358	-0.8324	Wound Healing (Immune C1)	READ
TCGA-2X-A9D6-01	TCGA-2X-A9D6-01	0.625886	9.92	1.218	-0.3301	0.5076	2.5921	1.1692	0.9132	1.3004	0.8478	-0.1663	-1.6451	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-A6-3809-01	TCGA-A6-3809-01	0.625077	11.11	-0.5593	-0.4731	-0.5797	1.3772	1.9391	-1.0391	0.5399	-1.2664	-0.6235	0.2382	IFN-gamma Dominant (Immune C2)	COAD
TCGA-A1-A0SK-01	TCGA-A1-A0SK-01	0.620559	13.62	-1.5109	-1.5542	0.2883	1.9355	-1.9495	2.2008	-1.32	0.4336	-0.7844	-0.4902	Wound Healing (Immune C1)	BRCA
TCGA-G4-6309-01	TCGA-G4-6309-01	0.61957	10.99	0.7605	-1.2216	-0.9129	1.2034	1.039	-0.2225	-0.5906	-0.8984	-1.0867	-0.2657	Wound Healing (Immune C1)	COAD
